12,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
11,12,12,12,12,12,12,12,12,12,12,12,12
10,13,13,13,13,13,12.9,12.8,12.8,12.8,12.8,12.8,12.8
9,13,13,13.1,13,13,12.9,13,13,13,13,13,13
8,13.2,13.2,13.5,13.3,13.3,13.2,13,13.1,13.1,13.1,13.1,13.1
7,13.4,13.4,13.9,13.7,13.6,13.6,13.1,13.1,13.1,13.1,13.1,13.1
6,13.5,13.8,14.5,14.3,14.1,14.1,13.5,13.2,13.2,13.2,13.2,13.2
5,13.6,14.1,14.2,14.9,14.7,14.7,14,13.2,13.2,13.2,13.2,13.2
4,13.5,14,14.2,15.1,15,14.7,14,13.2,13.2,13.2,13.2,13.2
3,13.4,13.9,14.2,15.1,15.2,14.9,14.1,13.2,13.2,13.2,13.2,13.2
2,13.2,13.7,13.5,14.7,15.2,14.9,14.2,13.2,13.2,13.2,13.2,13.2
1,13,13,13,13,14.7,14.7,14.7,14.7,14.7,14.7,13.9,13
,1,2,3,4,5,6,7,8,9,10,11,12